,High,Low,Open,Close,Volume,Adj Close
1885-05-02,31.435,31.435,31.435,31.435,0,31.435
1885-05-04,30.6614,30.6614,30.6614,30.6614,0,30.6614
1885-05-05,30.5087,30.5087,30.5087,30.5087,0,30.5087
1885-05-06,30.824,30.824,30.824,30.824,0,30.824
1885-05-07,30.5038,30.5038,30.5038,30.5038,0,30.5038
1885-05-08,30.9226,30.9226,30.9226,30.9226,0,30.9226
1885-05-09,31.1443,31.1443,31.1443,31.1443,0,31.1443
1885-05-11,30.7945,30.7945,30.7945,30.7945,0,30.7945
1885-05-12,30.6565,30.6565,30.6565,30.6565,0,30.6565
1885-05-13,30.6565,30.6565,30.6565,30.6565,0,30.6565
1885-05-14,30.6565,30.6565,30.6565,30.6565,0,30.6565
1885-05-15,30.8733,30.8733,30.8733,30.8733,0,30.8733
1885-05-16,31.031,31.031,31.031,31.031,0,31.031
1885-05-18,31.095,31.095,31.095,31.095,0,31.095
1885-05-19,31.1,31.1,31.1,31.1,0,31.1
1885-05-20,30.9423,30.9423,30.9423,30.9423,0,30.9423
1885-05-21,31.1246,31.1246,31.1246,31.1246,0,31.1246
1885-05-22,31.3611,31.3611,31.3611,31.3611,0,31.3611
1885-05-23,31.4843,31.4843,31.4843,31.4843,0,31.4843
1885-05-25,31.0655,31.0655,31.0655,31.0655,0,31.0655
1885-05-26,31.1936,31.1936,31.1936,31.1936,0,31.1936
1885-05-27,31.026,31.026,31.026,31.026,0,31.026
1885-05-28,30.9176,30.9176,30.9176,30.9176,0,30.9176
1885-05-29,30.6861,30.6861,30.6861,30.6861,0,30.6861
1885-06-01,30.5383,30.5383,30.5383,30.5383,0,30.5383
1885-06-02,30.7156,30.7156,30.7156,30.7156,0,30.7156
1885-06-03,30.9078,30.9078,30.9078,30.9078,0,30.9078
1885-06-04,30.7107,30.7107,30.7107,30.7107,0,30.7107
1885-06-05,30.4693,30.4693,30.4693,30.4693,0,30.4693
1885-06-06,30.5481,30.5481,30.5481,30.5481,0,30.5481
1885-06-08,30.4151,30.4151,30.4151,30.4151,0,30.4151
1885-06-09,30.5136,30.5136,30.5136,30.5136,0,30.5136
1885-06-10,30.5875,30.5875,30.5875,30.5875,0,30.5875
1885-06-11,30.8634,30.8634,30.8634,30.8634,0,30.8634
1885-06-12,31.0211,31.0211,31.0211,31.0211,0,31.0211
1885-06-13,31.0507,31.0507,31.0507,31.0507,0,31.0507
1885-06-15,31.2921,31.2921,31.2921,31.2921,0,31.2921
1885-06-16,31.1837,31.1837,31.1837,31.1837,0,31.1837
1885-06-17,31.1837,31.1837,31.1837,31.1837,0,31.1837
1885-06-18,31.3709,31.3709,31.3709,31.3709,0,31.3709
1885-06-19,31.5976,31.5976,31.5976,31.5976,0,31.5976
1885-06-20,31.8538,31.8538,31.8538,31.8538,0,31.8538
1885-06-22,31.4399,31.4399,31.4399,31.4399,0,31.4399
1885-06-23,31.3759,31.3759,31.3759,31.3759,0,31.3759
1885-06-24,31.7208,31.7208,31.7208,31.7208,0,31.7208
1885-06-25,31.5237,31.5237,31.5237,31.5237,0,31.5237
1885-06-26,31.3069,31.3069,31.3069,31.3069,0,31.3069
1885-06-27,31.1,31.1,31.1,31.1,0,31.1
1885-06-29,30.7945,30.7945,30.7945,30.7945,0,30.7945
1885-06-30,30.7255,30.7255,30.7255,30.7255,0,30.7255
1885-07-01,30.5235,30.5235,30.5235,30.5235,0,30.5235
1885-07-02,30.2968,30.2968,30.2968,30.2968,0,30.2968
1885-07-03,30.6269,30.6269,30.6269,30.6269,0,30.6269
1885-07-06,30.6269,30.6269,30.6269,30.6269,0,30.6269
1885-07-07,30.5186,30.5186,30.5186,30.5186,0,30.5186
1885-07-08,31.031,31.031,31.031,31.031,0,31.031
1885-07-09,31.095,31.095,31.095,31.095,0,31.095
1885-07-10,31.095,31.095,31.095,31.095,0,31.095
1885-07-11,31.7011,31.7011,31.7011,31.7011,0,31.7011
1885-07-13,32.1396,32.1396,32.1396,32.1396,0,32.1396
1885-07-14,32.2775,32.2775,32.2775,32.2775,0,32.2775
1885-07-15,32.7358,32.7358,32.7358,32.7358,0,32.7358
1885-07-16,32.5633,32.5633,32.5633,32.5633,0,32.5633
1885-07-17,32.9969,32.9969,32.9969,32.9969,0,32.9969
1885-07-18,33.4305,33.4305,33.4305,33.4305,0,33.4305
1885-07-20,32.9033,32.9033,32.9033,32.9033,0,32.9033
1885-07-21,32.9181,32.9181,32.9181,32.9181,0,32.9181
1885-07-22,33.4305,33.4305,33.4305,33.4305,0,33.4305
1885-07-23,33.9232,33.9232,33.9232,33.9232,0,33.9232
1885-07-24,33.4797,33.4797,33.4797,33.4797,0,33.4797
1885-07-25,32.9772,32.9772,32.9772,32.9772,0,32.9772
1885-07-27,33.1151,33.1151,33.1151,33.1151,0,33.1151
1885-07-28,33.189,33.189,33.189,33.189,0,33.189
1885-07-29,33.5241,33.5241,33.5241,33.5241,0,33.5241
1885-07-30,33.4797,33.4797,33.4797,33.4797,0,33.4797
1885-07-31,33.5783,33.5783,33.5783,33.5783,0,33.5783
1885-08-01,33.4502,33.4502,33.4502,33.4502,0,33.4502
1885-08-03,33.3122,33.3122,33.3122,33.3122,0,33.3122
1885-08-04,33.4108,33.4108,33.4108,33.4108,0,33.4108
1885-08-05,33.3319,33.3319,33.3319,33.3319,0,33.3319
1885-08-06,33.4945,33.4945,33.4945,33.4945,0,33.4945
1885-08-07,33.7803,33.7803,33.7803,33.7803,0,33.7803
1885-08-10,33.9183,33.9183,33.9183,33.9183,0,33.9183
1885-08-11,33.8542,33.8542,33.8542,33.8542,0,33.8542
1885-08-12,34.2681,34.2681,34.2681,34.2681,0,34.2681
1885-08-13,34.0414,34.0414,34.0414,34.0414,0,34.0414
1885-08-14,34.4455,34.4455,34.4455,34.4455,0,34.4455
1885-08-15,34.8495,34.8495,34.8495,34.8495,0,34.8495
1885-08-17,35.5245,35.5245,35.5245,35.5245,0,35.5245
1885-08-18,34.7362,34.7362,34.7362,34.7362,0,34.7362
1885-08-19,35.2486,35.2486,35.2486,35.2486,0,35.2486
1885-08-20,34.948,34.948,34.948,34.948,0,34.948
1885-08-21,34.9973,34.9973,34.9973,34.9973,0,34.9973
1885-08-22,35.1353,35.1353,35.1353,35.1353,0,35.1353
1885-08-24,34.7756,34.7756,34.7756,34.7756,0,34.7756
1885-08-25,34.4504,34.4504,34.4504,34.4504,0,34.4504
1885-08-26,34.5834,34.5834,34.5834,34.5834,0,34.5834
1885-08-27,35.0219,35.0219,35.0219,35.0219,0,35.0219
1885-08-28,34.7854,34.7854,34.7854,34.7854,0,34.7854
1885-08-29,34.2434,34.2434,34.2434,34.2434,0,34.2434
1885-08-31,34.2681,34.2681,34.2681,34.2681,0,34.2681
1885-09-01,34.0414,34.0414,34.0414,34.0414,0,34.0414
1885-09-02,34.2878,34.2878,34.2878,34.2878,0,34.2878
1885-09-03,34.1449,34.1449,34.1449,34.1449,0,34.1449
1885-09-04,34.0316,34.0316,34.0316,34.0316,0,34.0316
1885-09-05,33.7212,33.7212,33.7212,33.7212,0,33.7212
1885-09-07,32.9723,32.9723,32.9723,32.9723,0,32.9723
1885-09-08,33.2383,33.2383,33.2383,33.2383,0,33.2383
1885-09-09,33.3812,33.3812,33.3812,33.3812,0,33.3812
1885-09-10,33.0659,33.0659,33.0659,33.0659,0,33.0659
1885-09-11,33.1693,33.1693,33.1693,33.1693,0,33.1693
1885-09-12,33.3073,33.3073,33.3073,33.3073,0,33.3073
1885-09-14,33.6916,33.6916,33.6916,33.6916,0,33.6916
1885-09-15,33.5438,33.5438,33.5438,33.5438,0,33.5438
1885-09-16,33.8739,33.8739,33.8739,33.8739,0,33.8739
1885-09-17,33.7606,33.7606,33.7606,33.7606,0,33.7606
1885-09-18,34.0316,34.0316,34.0316,34.0316,0,34.0316
1885-09-19,34.2632,34.2632,34.2632,34.2632,0,34.2632
1885-09-21,33.8936,33.8936,33.8936,33.8936,0,33.8936
1885-09-22,33.9429,33.9429,33.9429,33.9429,0,33.9429
1885-09-23,33.9725,33.9725,33.9725,33.9725,0,33.9725
1885-09-24,33.7902,33.7902,33.7902,33.7902,0,33.7902
1885-09-25,33.6325,33.6325,33.6325,33.6325,0,33.6325
1885-09-26,33.6423,33.6423,33.6423,33.6423,0,33.6423
1885-09-28,34.1597,34.1597,34.1597,34.1597,0,34.1597
1885-09-29,34.1006,34.1006,34.1006,34.1006,0,34.1006
1885-09-30,34.3321,34.3321,34.3321,34.3321,0,34.3321
1885-10-01,34.2632,34.2632,34.2632,34.2632,0,34.2632
1885-10-02,33.9577,33.9577,33.9577,33.9577,0,33.9577
1885-10-03,34.5982,34.5982,34.5982,34.5982,0,34.5982
1885-10-05,34.948,34.948,34.948,34.948,0,34.948
