,High,Low,Open,Close,Volume,Adj Close
1885-10-06,35.0022,35.0022,35.0022,35.0022,0,35.0022
1885-10-07,35.6723,35.6723,35.6723,35.6723,0,35.6723
1885-10-08,35.6871,35.6871,35.6871,35.6871,0,35.6871
1885-10-09,35.8103,35.8103,35.8103,35.8103,0,35.8103
1885-10-10,36.1995,36.1995,36.1995,36.1995,0,36.1995
1885-10-12,36.2389,36.2389,36.2389,36.2389,0,36.2389
1885-10-13,36.4656,36.4656,36.4656,36.4656,0,36.4656
1885-10-14,36.6134,36.6134,36.6134,36.6134,0,36.6134
1885-10-15,36.2537,36.2537,36.2537,36.2537,0,36.2537
1885-10-16,36.7908,36.7908,36.7908,36.7908,0,36.7908
1885-10-17,37.3081,37.3081,37.3081,37.3081,0,37.3081
1885-10-19,37.6727,37.6727,37.6727,37.6727,0,37.6727
1885-10-20,38.0915,38.0915,38.0915,38.0915,0,38.0915
1885-10-21,38.1014,38.1014,38.1014,38.1014,0,38.1014
1885-10-22,37.3968,37.3968,37.3968,37.3968,0,37.3968
1885-10-23,37.6087,37.6087,37.6087,37.6087,0,37.6087
1885-10-24,37.7614,37.7614,37.7614,37.7614,0,37.7614
1885-10-26,37.1652,37.1652,37.1652,37.1652,0,37.1652
1885-10-27,37.6382,37.6382,37.6382,37.6382,0,37.6382
1885-10-28,37.8895,37.8895,37.8895,37.8895,0,37.8895
1885-10-29,37.6629,37.6629,37.6629,37.6629,0,37.6629
1885-10-30,38.1359,38.1359,38.1359,38.1359,0,38.1359
1885-10-31,38.5547,38.5547,38.5547,38.5547,0,38.5547
1885-11-02,38.5497,38.5497,38.5497,38.5497,0,38.5497
1885-11-04,38.2541,38.2541,38.2541,38.2541,0,38.2541
1885-11-05,38.7813,38.7813,38.7813,38.7813,0,38.7813
1885-11-06,38.4364,38.4364,38.4364,38.4364,0,38.4364
1885-11-07,38.8454,38.8454,38.8454,38.8454,0,38.8454
1885-11-09,38.6286,38.6286,38.6286,38.6286,0,38.6286
1885-11-10,38.9439,38.9439,38.9439,38.9439,0,38.9439
1885-11-11,39.5401,39.5401,39.5401,39.5401,0,39.5401
1885-11-12,39.5007,39.5007,39.5007,39.5007,0,39.5007
1885-11-13,39.816,39.816,39.816,39.816,0,39.816
1885-11-14,39.481,39.481,39.481,39.481,0,39.481
1885-11-16,39.7175,39.7175,39.7175,39.7175,0,39.7175
1885-11-17,40.22,40.22,40.22,40.22,0,40.22
1885-11-18,40.3383,40.3383,40.3383,40.3383,0,40.3383
1885-11-19,40.7719,40.7719,40.7719,40.7719,0,40.7719
1885-11-20,40.4368,40.4368,40.4368,40.4368,0,40.4368
1885-11-21,39.8751,39.8751,39.8751,39.8751,0,39.8751
1885-11-23,39.2937,39.2937,39.2937,39.2937,0,39.2937
1885-11-24,40.4073,40.4073,40.4073,40.4073,0,40.4073
1885-11-25,40.2102,40.2102,40.2102,40.2102,0,40.2102
1885-11-27,39.6042,39.6042,39.6042,39.6042,0,39.6042
1885-11-28,39.7865,39.7865,39.7865,39.7865,0,39.7865
1885-11-30,39.5697,39.5697,39.5697,39.5697,0,39.5697
1885-12-01,39.2149,39.2149,39.2149,39.2149,0,39.2149
1885-12-02,39.3381,39.3381,39.3381,39.3381,0,39.3381
1885-12-03,39.3874,39.3874,39.3874,39.3874,0,39.3874
1885-12-04,39.55,39.55,39.55,39.55,0,39.55
1885-12-05,39.9688,39.9688,39.9688,39.9688,0,39.9688
1885-12-07,39.4169,39.4169,39.4169,39.4169,0,39.4169
1885-12-08,39.5253,39.5253,39.5253,39.5253,0,39.5253
1885-12-09,39.4218,39.4218,39.4218,39.4218,0,39.4218
1885-12-10,38.8306,38.8306,38.8306,38.8306,0,38.8306
1885-12-11,38.8848,38.8848,38.8848,38.8848,0,38.8848
1885-12-12,38.2689,38.2689,38.2689,38.2689,0,38.2689
1885-12-14,37.9142,37.9142,37.9142,37.9142,0,37.9142
1885-12-15,38.6187,38.6187,38.6187,38.6187,0,38.6187
1885-12-16,39.274,39.274,39.274,39.274,0,39.274
1885-12-17,38.9636,38.9636,38.9636,38.9636,0,38.9636
1885-12-18,39.1952,39.1952,39.1952,39.1952,0,39.1952
1885-12-19,39.4218,39.4218,39.4218,39.4218,0,39.4218
1885-12-21,38.6483,38.6483,38.6483,38.6483,0,38.6483
1885-12-22,37.9585,37.9585,37.9585,37.9585,0,37.9585
1885-12-23,38.0472,38.0472,38.0472,38.0472,0,38.0472
1885-12-24,38.4906,38.4906,38.4906,38.4906,0,38.4906
1885-12-26,39.2691,39.2691,39.2691,39.2691,0,39.2691
1885-12-28,38.9094,38.9094,38.9094,38.9094,0,38.9094
1885-12-29,39.5401,39.5401,39.5401,39.5401,0,39.5401
1885-12-30,39.5598,39.5598,39.5598,39.5598,0,39.5598
1885-12-31,39.4859,39.4859,39.4859,39.4859,0,39.4859
1886-01-02,39.4859,39.4859,39.4859,39.4859,0,39.4859
1886-01-04,39.5179,39.5179,39.5179,39.5179,0,39.5179
1886-01-05,39.1563,39.1563,39.1563,39.1563,0,39.1563
1886-01-06,39.257,39.257,39.257,39.257,0,39.257
1886-01-07,39.1701,39.1701,39.1701,39.1701,0,39.1701
1886-01-08,38.9274,38.9274,38.9274,38.9274,0,38.9274
1886-01-09,39.0968,39.0968,39.0968,39.0968,0,39.0968
1886-01-11,38.7627,38.7627,38.7627,38.7627,0,38.7627
1886-01-12,38.6711,38.6711,38.6711,38.6711,0,38.6711
1886-01-13,38.1401,38.1401,38.1401,38.1401,0,38.1401
1886-01-14,38.4056,38.4056,38.4056,38.4056,0,38.4056
1886-01-15,37.6595,37.6595,37.6595,37.6595,0,37.6595
1886-01-16,37.3528,37.3528,37.3528,37.3528,0,37.3528
1886-01-18,37.014,37.014,37.014,37.014,0,37.014
1886-01-19,37.3757,37.3757,37.3757,37.3757,0,37.3757
1886-01-20,37.275,37.275,37.275,37.275,0,37.275
1886-01-21,37.6137,37.6137,37.6137,37.6137,0,37.6137
1886-01-22,37.3482,37.3482,37.3482,37.3482,0,37.3482
1886-01-23,36.8355,36.8355,36.8355,36.8355,0,36.8355
1886-01-25,36.7485,36.7485,36.7485,36.7485,0,36.7485
1886-01-26,37.101,37.101,37.101,37.101,0,37.101
1886-01-27,37.1056,37.1056,37.1056,37.1056,0,37.1056
1886-01-28,37.3299,37.3299,37.3299,37.3299,0,37.3299
1886-01-29,37.3161,37.3161,37.3161,37.3161,0,37.3161
1886-01-30,37.8105,37.8105,37.8105,37.8105,0,37.8105
1886-02-01,38.2774,38.2774,38.2774,38.2774,0,38.2774
1886-02-02,38.3553,38.3553,38.3553,38.3553,0,38.3553
1886-02-03,38.5796,38.5796,38.5796,38.5796,0,38.5796
1886-02-04,38.6162,38.6162,38.6162,38.6162,0,38.6162
1886-02-05,38.9686,38.9686,38.9686,38.9686,0,38.9686
1886-02-06,38.5384,38.5384,38.5384,38.5384,0,38.5384
1886-02-08,39.2982,39.2982,39.2982,39.2982,0,39.2982
1886-02-09,39.6827,39.6827,39.6827,39.6827,0,39.6827
1886-02-10,39.1838,39.1838,39.1838,39.1838,0,39.1838
1886-02-11,39.3165,39.3165,39.3165,39.3165,0,39.3165
1886-02-12,39.3852,39.3852,39.3852,39.3852,0,39.3852
1886-02-13,39.7468,39.7468,39.7468,39.7468,0,39.7468
1886-02-15,39.4768,39.4768,39.4768,39.4768,0,39.4768
1886-02-16,39.5729,39.5729,39.5729,39.5729,0,39.5729
1886-02-17,39.3669,39.3669,39.3669,39.3669,0,39.3669
1886-02-18,38.8313,38.8313,38.8313,38.8313,0,38.8313
1886-02-19,38.6894,38.6894,38.6894,38.6894,0,38.6894
1886-02-20,38.3553,38.3553,38.3553,38.3553,0,38.3553
1886-02-23,38.5658,38.5658,38.5658,38.5658,0,38.5658
1886-02-24,38.5704,38.5704,38.5704,38.5704,0,38.5704
1886-02-25,38.4514,38.4514,38.4514,38.4514,0,38.4514
1886-02-26,38.4239,38.4239,38.4239,38.4239,0,38.4239
1886-02-27,38.2957,38.2957,38.2957,38.2957,0,38.2957
1886-03-01,38.3324,38.3324,38.3324,38.3324,0,38.3324
1886-03-02,38.8634,38.8634,38.8634,38.8634,0,38.8634
1886-03-03,38.8725,38.8725,38.8725,38.8725,0,38.8725
1886-03-04,38.5063,38.5063,38.5063,38.5063,0,38.5063
1886-03-05,38.5567,38.5567,38.5567,38.5567,0,38.5567
1886-03-06,38.5979,38.5979,38.5979,38.5979,0,38.5979
1886-03-08,38.455999999999996,38.455999999999996,38.455999999999996,38.455999999999996,0,38.455999999999996
1886-03-09,38.3644,38.3644,38.3644,38.3644,0,38.3644
1886-03-10,38.3553,38.3553,38.3553,38.3553,0,38.3553
1886-03-11,38.4743,38.4743,38.4743,38.4743,0,38.4743
1886-03-12,37.7968,37.7968,37.7968,37.7968,0,37.7968
1886-03-13,37.719,37.719,37.719,37.719,0,37.719
1886-03-15,37.9341,37.9341,37.9341,37.9341,0,37.9341
1886-03-16,37.9341,37.9341,37.9341,37.9341,0,37.9341
1886-03-17,37.3528,37.3528,37.3528,37.3528,0,37.3528
1886-03-18,37.4169,37.4169,37.4169,37.4169,0,37.4169
1886-03-19,37.6549,37.6549,37.6549,37.6549,0,37.6549
1886-03-20,37.632,37.632,37.632,37.632,0,37.632
1886-03-22,37.5084,37.5084,37.5084,37.5084,0,37.5084
1886-03-23,36.6753,36.6753,36.6753,36.6753,0,36.6753
1886-03-24,36.5059,36.5059,36.5059,36.5059,0,36.5059
1886-03-25,36.8309,36.8309,36.8309,36.8309,0,36.8309
1886-03-26,36.7302,36.7302,36.7302,36.7302,0,36.7302
1886-03-27,36.8996,36.8996,36.8996,36.8996,0,36.8996
1886-03-29,36.6936,36.6936,36.6936,36.6936,0,36.6936
1886-03-30,37.0369,37.0369,37.0369,37.0369,0,37.0369
1886-03-31,37.2521,37.2521,37.2521,37.2521,0,37.2521
1886-04-01,37.4214,37.4214,37.4214,37.4214,0,37.4214
1886-04-02,36.8126,36.8126,36.8126,36.8126,0,36.8126
1886-04-03,36.8172,36.8172,36.8172,36.8172,0,36.8172
1886-04-05,36.8859,36.8859,36.8859,36.8859,0,36.8859
1886-04-06,36.8767,36.8767,36.8767,36.8767,0,36.8767
1886-04-07,37.22,37.22,37.22,37.22,0,37.22
1886-04-08,37.1742,37.1742,37.1742,37.1742,0,37.1742
1886-04-09,37.2109,37.2109,37.2109,37.2109,0,37.2109
1886-04-10,37.2704,37.2704,37.2704,37.2704,0,37.2704
1886-04-12,37.8609,37.8609,37.8609,37.8609,0,37.8609
1886-04-13,37.5588,37.5588,37.5588,37.5588,0,37.5588
1886-04-14,37.545,37.545,37.545,37.545,0,37.545
1886-04-15,37.0507,37.0507,37.0507,37.0507,0,37.0507
1886-04-16,36.7989,36.7989,36.7989,36.7989,0,36.7989
1886-04-17,36.9087,36.9087,36.9087,36.9087,0,36.9087
1886-04-19,36.7897,36.7897,36.7897,36.7897,0,36.7897
1886-04-20,36.9957,36.9957,36.9957,36.9957,0,36.9957
1886-04-21,37.2109,37.2109,37.2109,37.2109,0,37.2109
1886-04-22,37.1651,37.1651,37.1651,37.1651,0,37.1651
1886-04-24,37.1285,37.1285,37.1285,37.1285,0,37.1285
1886-04-26,37.1193,37.1193,37.1193,37.1193,0,37.1193
1886-04-27,37.0095,37.0095,37.0095,37.0095,0,37.0095
1886-04-28,36.5975,36.5975,36.5975,36.5975,0,36.5975
1886-04-29,36.4418,36.4418,36.4418,36.4418,0,36.4418
1886-04-30,36.1306,36.1306,36.1306,36.1306,0,36.1306
1886-05-01,35.9292,35.9292,35.9292,35.9292,0,35.9292
1886-05-03,35.3753,35.3753,35.3753,35.3753,0,35.3753
1886-05-04,35.7369,35.7369,35.7369,35.7369,0,35.7369
1886-05-05,36.1947,36.1947,36.1947,36.1947,0,36.1947
1886-05-06,35.7689,35.7689,35.7689,35.7689,0,35.7689
1886-05-07,36.1809,36.1809,36.1809,36.1809,0,36.1809
1886-05-08,36.3274,36.3274,36.3274,36.3274,0,36.3274
1886-05-10,36.4052,36.4052,36.4052,36.4052,0,36.4052
1886-05-11,36.364000000000004,36.364000000000004,36.364000000000004,36.364000000000004,0,36.364000000000004
1886-05-12,36.8035,36.8035,36.8035,36.8035,0,36.8035
1886-05-13,36.6707,36.6707,36.6707,36.6707,0,36.6707
1886-05-14,36.2313,36.2313,36.2313,36.2313,0,36.2313
1886-05-15,36.5883,36.5883,36.5883,36.5883,0,36.5883
1886-05-17,35.1052,35.1052,35.1052,35.1052,0,35.1052
1886-05-18,36.1763,36.1763,36.1763,36.1763,0,36.1763
1886-05-19,36.1077,36.1077,36.1077,36.1077,0,36.1077
1886-05-20,36.4373,36.4373,36.4373,36.4373,0,36.4373
1886-05-21,36.6616,36.6616,36.6616,36.6616,0,36.6616
1886-05-22,36.9774,36.9774,36.9774,36.9774,0,36.9774
1886-05-24,36.863,36.863,36.863,36.863,0,36.863
1886-05-25,36.8996,36.8996,36.8996,36.8996,0,36.8996
1886-05-26,37.3116,37.3116,37.3116,37.3116,0,37.3116
1886-05-27,37.6457,37.6457,37.6457,37.6457,0,37.6457
1886-05-28,37.2795,37.2795,37.2795,37.2795,0,37.2795
1886-05-29,37.7693,37.7693,37.7693,37.7693,0,37.7693
1886-06-01,37.9067,37.9067,37.9067,37.9067,0,37.9067
1886-06-02,37.6778,37.6778,37.6778,37.6778,0,37.6778
1886-06-03,37.4489,37.4489,37.4489,37.4489,0,37.4489
1886-06-04,37.7831,37.7831,37.7831,37.7831,0,37.7831
1886-06-05,37.545,37.545,37.545,37.545,0,37.545
1886-06-07,37.6824,37.6824,37.6824,37.6824,0,37.6824
1886-06-08,37.5862,37.5862,37.5862,37.5862,0,37.5862
1886-06-09,38.0577,38.0577,38.0577,38.0577,0,38.0577
1886-06-10,37.6961,37.6961,37.6961,37.6961,0,37.6961
1886-06-11,37.9387,37.9387,37.9387,37.9387,0,37.9387
1886-06-12,37.9662,37.9662,37.9662,37.9662,0,37.9662
1886-06-14,38.0852,38.0852,38.0852,38.0852,0,38.0852
1886-06-15,38.1218,38.1218,38.1218,38.1218,0,38.1218
1886-06-16,38.488,38.488,38.488,38.488,0,38.488
1886-06-17,38.6528,38.6528,38.6528,38.6528,0,38.6528
1886-06-18,38.8222,38.8222,38.8222,38.8222,0,38.8222
1886-06-19,39.1792,39.1792,39.1792,39.1792,0,39.1792
1886-06-21,38.8222,38.8222,38.8222,38.8222,0,38.8222
1886-06-22,38.7352,38.7352,38.7352,38.7352,0,38.7352
1886-06-23,39.051,39.051,39.051,39.051,0,39.051
1886-06-24,38.4514,38.4514,38.4514,38.4514,0,38.4514
1886-06-25,38.8084,38.8084,38.8084,38.8084,0,38.8084
1886-06-26,38.7993,38.7993,38.7993,38.7993,0,38.7993
1886-06-28,38.6894,38.6894,38.6894,38.6894,0,38.6894
1886-06-29,38.3873,38.3873,38.3873,38.3873,0,38.3873
1886-06-30,38.3781,38.3781,38.3781,38.3781,0,38.3781
1886-07-01,38.5384,38.5384,38.5384,38.5384,0,38.5384
1886-07-02,38.575,38.575,38.575,38.575,0,38.575
1886-07-03,39.0785,39.0785,39.0785,39.0785,0,39.0785
1886-07-06,38.5063,38.5063,38.5063,38.5063,0,38.5063
1886-07-07,38.7031,38.7031,38.7031,38.7031,0,38.7031
1886-07-08,38.4605,38.4605,38.4605,38.4605,0,38.4605
1886-07-09,38.4148,38.4148,38.4148,38.4148,0,38.4148
1886-07-10,38.5109,38.5109,38.5109,38.5109,0,38.5109
1886-07-12,38.0074,38.0074,38.0074,38.0074,0,38.0074
1886-07-13,38.1767,38.1767,38.1767,38.1767,0,38.1767
1886-07-14,38.2225,38.2225,38.2225,38.2225,0,38.2225
1886-07-15,38.6024,38.6024,38.6024,38.6024,0,38.6024
1886-07-16,38.5933,38.5933,38.5933,38.5933,0,38.5933
1886-07-17,38.6391,38.6391,38.6391,38.6391,0,38.6391
1886-07-19,38.4102,38.4102,38.4102,38.4102,0,38.4102
1886-07-20,38.6848,38.6848,38.6848,38.6848,0,38.6848
1886-07-21,38.7993,38.7993,38.7993,38.7993,0,38.7993
1886-07-22,38.7764,38.7764,38.7764,38.7764,0,38.7764
1886-07-23,38.6986,38.6986,38.6986,38.6986,0,38.6986
1886-07-24,38.7535,38.7535,38.7535,38.7535,0,38.7535
1886-07-26,38.9274,38.9274,38.9274,38.9274,0,38.9274
1886-07-27,38.9824,38.9824,38.9824,38.9824,0,38.9824
1886-07-28,39.257,39.257,39.257,39.257,0,39.257
1886-07-29,39.0419,39.0419,39.0419,39.0419,0,39.0419
1886-07-30,39.1884,39.1884,39.1884,39.1884,0,39.1884
1886-07-31,39.4584,39.4584,39.4584,39.4584,0,39.4584
1886-08-02,39.7331,39.7331,39.7331,39.7331,0,39.7331
1886-08-03,39.5225,39.5225,39.5225,39.5225,0,39.5225
1886-08-04,39.5683,39.5683,39.5683,39.5683,0,39.5683
1886-08-05,39.7514,39.7514,39.7514,39.7514,0,39.7514
1886-08-06,39.8613,39.8613,39.8613,39.8613,0,39.8613
1886-08-07,39.6141,39.6141,39.6141,39.6141,0,39.6141
1886-08-09,39.3898,39.3898,39.3898,39.3898,0,39.3898
1886-08-10,39.6232,39.6232,39.6232,39.6232,0,39.6232
1886-08-11,39.3852,39.3852,39.3852,39.3852,0,39.3852
1886-08-12,39.3211,39.3211,39.3211,39.3211,0,39.3211
1886-08-13,39.2113,39.2113,39.2113,39.2113,0,39.2113
1886-08-14,39.2753,39.2753,39.2753,39.2753,0,39.2753
1886-08-16,39.0053,39.0053,39.0053,39.0053,0,39.0053
1886-08-17,38.4651,38.4651,38.4651,38.4651,0,38.4651
1886-08-18,38.2317,38.2317,38.2317,38.2317,0,38.2317
1886-08-19,38.5796,38.5796,38.5796,38.5796,0,38.5796
1886-08-20,39.051,39.051,39.051,39.051,0,39.051
1886-08-21,39.0739,39.0739,39.0739,39.0739,0,39.0739
1886-08-23,38.9137,38.9137,38.9137,38.9137,0,38.9137
1886-08-24,39.051,39.051,39.051,39.051,0,39.051
1886-08-25,38.7215,38.7215,38.7215,38.7215,0,38.7215
1886-08-26,38.7672,38.7672,38.7672,38.7672,0,38.7672
1886-08-27,38.986999999999995,38.986999999999995,38.986999999999995,38.986999999999995,0,38.986999999999995
1886-08-28,39.0236,39.0236,39.0236,39.0236,0,39.0236
1886-08-30,38.9686,38.9686,38.9686,38.9686,0,38.9686
1886-08-31,38.7123,38.7123,38.7123,38.7123,0,38.7123
1886-09-01,38.8451,38.8451,38.8451,38.8451,0,38.8451
1886-09-02,39.0373,39.0373,39.0373,39.0373,0,39.0373
1886-09-03,39.4264,39.4264,39.4264,39.4264,0,39.4264
1886-09-04,39.3852,39.3852,39.3852,39.3852,0,39.3852
1886-09-06,39.6141,39.6141,39.6141,39.6141,0,39.6141
1886-09-07,39.4905,39.4905,39.4905,39.4905,0,39.4905
1886-09-08,39.7697,39.7697,39.7697,39.7697,0,39.7697
1886-09-09,39.5729,39.5729,39.5729,39.5729,0,39.5729
